2024-04-17 13:24:21,937 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:24:30,366 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:24:38,534 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:24:46,247 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:24:54,194 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:25:02,019 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:25:09,906 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:25:17,774 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:25:25,613 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:25:33,424 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:25:41,117 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:25:49,486 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:25:57,422 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:26:05,194 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:26:13,152 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:26:21,274 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:26:29,197 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:26:36,813 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:26:44,797 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:26:52,679 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:27:00,874 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:27:09,044 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:27:17,426 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:27:25,319 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:27:33,071 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
